Machine_ID,Temperature,Vibration,RPM,Humidity,Power,Running_Hours,Status
LOOM0001,35.84,0.54,1197,58.98,4.34,102,Running
LOOM0002,36.06,1.84,1185,60.36,4.23,97,Running
LOOM0003,33.31,1.26,1181,60.24,4.92,409,Running
LOOM0004,35.27,0.83,1217,59.11,5.07,438,Running
LOOM0005,36.83,1.55,1201,59.11,4.42,440,Running
LOOM0006,34.02,0.64,1186,59.44,4.54,185,Running
LOOM0007,36.84,1.59,1214,58.5,5.12,90,Running
LOOM0008,35.31,1.74,1219,61.54,4.56,148,Running
LOOM0009,36.23,0.57,1194,61.09,5.19,487,Running
LOOM0010,33.4,0.65,1197,59.81,5.03,133,Running
LOOM0011,34.22,0.81,1197,60.81,4.88,86,Running
LOOM0012,35.65,0.76,1195,58.65,4.58,377,Running
LOOM0013,36.13,0.83,1200,61.37,4.98,167,Running
LOOM0014,36.93,1.71,1205,59.07,4.41,340,Running
LOOM0015,37.26,0.97,1211,59.58,5.11,284,Running
LOOM0016,32.86,0.71,1215,60.16,4.95,269,Running
LOOM0017,37.39,1.1,1194,61.99,4.34,302,Running
LOOM0018,32.55,0.57,1187,58.61,4.36,398,Running
LOOM0019,34.53,0.6,1204,60.38,4.67,178,Running
LOOM0020,37.83,1.79,1180,60.72,4.31,324,Running
LOOM0021,36.51,1.65,1201,58.45,4.63,282,Running
LOOM0022,32.02,1.58,1196,61.89,4.96,309,Running
LOOM0023,37.48,1.81,1199,61.37,4.71,151,Running
LOOM0024,32.92,1.64,1214,61.81,5.12,50,Running
LOOM0025,35.59,1.23,1187,61.72,5.08,475,Running
LOOM0026,36.84,0.86,1195,61.51,5.15,93,Running
LOOM0027,36.39,1.72,1214,61.06,4.33,293,Running
LOOM0028,37.68,0.75,1213,61.49,4.62,158,Running
LOOM0029,37.57,1.63,1192,60.85,4.6,393,Running
LOOM0030,35.9,1.16,1213,59.81,4.45,82,Running
LOOM0031,34.03,1.38,1194,60.35,4.21,412,Running
LOOM0032,35.79,0.84,1182,61.44,4.27,171,Running
LOOM0033,33.67,1.23,1214,58.53,5.14,342,Running
LOOM0034,35.46,0.86,1210,61.23,4.39,99,Running
LOOM0035,35.95,1.03,1206,59.87,4.93,394,Running
LOOM0036,35.92,1.47,1183,59.61,4.54,491,Running
LOOM0037,32.66,0.79,1214,59.79,4.62,192,Running
LOOM0038,34.78,1.81,1184,59.77,5.06,331,Running
LOOM0039,32.59,1.48,1214,61.34,5.17,435,Running
LOOM0040,37.09,0.75,1211,59.93,5.06,80,Running
LOOM0041,32.99,0.5,1204,59.06,4.98,282,Running
LOOM0042,33.71,1.54,1215,60.65,4.69,147,Running
LOOM0043,33.78,1.95,1217,60.94,4.26,210,Running
LOOM0044,32.34,1.38,1212,61.68,4.73,79,Running
LOOM0045,37.76,0.62,1191,58.27,4.27,491,Running
LOOM0046,33.41,0.68,1216,58.98,4.79,367,Running
LOOM0047,32.49,1.49,1216,60.09,5.13,154,Running
LOOM0048,36.02,0.97,1196,59.58,4.87,203,Running
LOOM0049,34.74,1.89,1184,58.04,4.82,338,Running
LOOM0050,37.98,0.61,1193,60.02,4.33,228,Running
LOOM0051,37.29,1.82,1203,59.14,4.64,328,Running
LOOM0052,36.22,1.42,1213,58.03,5.02,203,Running
LOOM0053,37.59,0.66,1188,59.06,5.09,430,Running
LOOM0054,35.32,0.91,1218,58.84,4.54,401,Running
LOOM0055,35.81,0.9,1211,59.0,5.11,76,Running
LOOM0056,32.55,1.14,1197,58.18,4.53,116,Running
LOOM0057,35.82,0.89,1208,60.21,4.63,54,Running
LOOM0058,32.67,1.92,1189,60.18,5.03,348,Running
LOOM0059,35.32,1.14,1182,59.23,5.1,457,Running
LOOM0060,37.83,0.56,1202,58.84,4.45,102,Running
LOOM0061,34.12,1.34,1206,61.9,4.95,171,Running
LOOM0062,37.19,1.96,1191,61.53,4.22,427,Running
LOOM0063,37.55,1.67,1206,61.21,5.06,465,Running
LOOM0064,33.49,0.74,1186,59.53,4.24,290,Running
LOOM0065,33.33,1.72,1209,59.4,5.02,496,Running
LOOM0066,33.37,0.54,1192,59.59,4.48,85,Running
LOOM0067,37.8,0.92,1212,59.6,5.18,324,Running
LOOM0068,33.99,0.54,1196,58.71,5.16,185,Running
LOOM0069,32.23,1.39,1202,60.91,4.51,360,Running
LOOM0070,37.91,0.67,1216,58.76,4.24,273,Running
LOOM0071,32.01,1.89,1214,60.75,5.14,427,Running
LOOM0072,36.02,1.05,1184,61.8,5.12,369,Running
LOOM0073,33.88,1.77,1199,60.03,4.87,217,Running
LOOM0074,34.41,0.94,1188,58.77,4.86,244,Running
LOOM0075,36.06,1.85,1219,60.28,4.61,476,Running
LOOM0076,32.0,0.93,1207,61.14,4.81,214,Running
LOOM0077,34.79,1.16,1193,60.04,4.99,457,Running
LOOM0078,36.42,1.49,1198,60.06,4.83,221,Running
LOOM0079,32.56,1.93,1195,60.69,4.42,151,Running
LOOM0080,32.88,0.57,1210,60.45,4.97,283,Running
LOOM0081,34.49,1.44,1192,60.87,4.58,254,Running
LOOM0082,33.46,1.48,1180,61.57,5.06,104,Running
LOOM0083,36.67,0.83,1213,59.86,4.76,484,Running
LOOM0084,32.73,0.7,1209,60.67,5.19,354,Running
LOOM0085,33.9,1.63,1208,60.45,4.92,308,Running
LOOM0086,34.56,1.86,1208,61.59,4.94,293,Running
LOOM0087,34.7,1.63,1220,59.11,4.98,298,Running
LOOM0088,35.76,0.91,1184,60.85,4.43,221,Running
LOOM0089,33.92,1.31,1188,58.6,4.58,128,Running
LOOM0090,36.24,0.6,1206,59.32,4.67,81,Running
LOOM0091,33.24,1.13,1217,61.78,4.22,500,Running
LOOM0092,36.59,1.07,1180,61.77,4.5,249,Running
LOOM0093,37.12,1.93,1206,60.15,4.93,459,Running
LOOM0094,35.62,0.83,1194,59.09,4.69,249,Running
LOOM0095,34.02,1.52,1205,60.9,5.04,115,Running
LOOM0096,37.88,1.3,1205,60.37,4.86,92,Running
LOOM0097,35.86,0.7,1209,58.73,4.46,217,Running
LOOM0098,33.27,0.99,1204,59.11,5.15,265,Running
