machineId,Health,Temperature,Vibration,RPM,Humidity,Power,Running_Hours,status
M0001,96.62,38.65,1.04,1555,53.4,3.97,785.52,Running
M0002,94.71,37.81,1.33,1552,51.37,4.28,143.03,Running
M0003,95.45,40.51,1.7,1499,51.33,4.6,603.12,Running
M0004,96.63,36.28,1.21,1520,48.18,4.49,502.05,Running
M0005,95.2,39.64,1.35,1506,51.69,4.08,537.11,Running
M0006,96.01,37.11,1.12,1455,45.96,4.15,652.64,Running
M0007,97.99,36.19,1.34,1407,51.95,4.39,666.05,Running
M0008,82.37,49.66,2.8,1354,49.72,5.35,793.66,Running
M0009,92.83,40.13,1.5,1398,51.73,4.47,572.05,Running
M0010,98.6,34.19,1.21,1480,48.78,3.86,857.91,Running
M0011,96.51,37.81,1.24,1436,47.16,4.73,272.1,Running
M0012,94.98,38.44,1.45,1560,45.37,3.92,282.98,Running
M0013,95.38,37.92,1.26,1411,54.76,4.78,544.67,Running
M0014,90.47,42.54,1.67,1437,48.07,5.04,541.52,Running
M0015,98.12,34.95,1.0,1464,47.39,4.28,216.62,Running
M0016,97.91,35.48,1.36,1568,48.39,3.77,924.62,Running
M0017,97.61,35.47,1.11,1450,53.73,3.75,314.35,Running
M0018,92.26,42.33,1.57,1446,45.44,4.37,492.58,Running
M0019,98.86,35.66,1.19,1432,51.75,4.54,670.93,Running
M0020,90.98,41.21,2.03,1453,54.58,4.57,632.3,Running
M0021,80.41,52.06,3.04,1536,48.6,5.54,430.27,Running
M0022,78.85,53.67,3.4,1465,49.86,5.67,484.26,Maintenance
M0023,91.79,43.46,2.0,1539,49.5,4.39,480.16,Running
M0024,91.72,41.15,1.89,1393,47.07,4.59,777.19,Running
M0025,85.2,45.17,2.33,1470,50.45,4.82,317.97,Running
M0026,95.06,39.52,1.27,1461,51.1,4.47,730.22,Running
M0027,97.89,34.97,0.97,1448,52.73,3.7,188.68,Running
M0028,97.35,37.26,1.37,1457,45.28,4.06,316.03,Running
M0029,92.17,40.46,1.92,1483,54.48,4.8,922.41,Running
M0030,97.28,36.69,0.98,1586,48.08,4.58,900.07,Running
M0031,93.82,41.69,1.82,1402,51.07,4.13,303.27,Running
M0032,98.96,37.16,1.1,1402,46.74,3.61,657.67,Running
M0033,95.01,37.46,1.31,1564,51.76,4.15,795.85,Running
M0034,94.81,37.69,1.68,1583,53.89,4.28,662.79,Running
M0035,88.5,43.2,2.35,1552,50.5,4.58,312.22,Running
M0036,92.06,40.61,1.51,1550,51.69,5.02,932.68,Running
M0037,94.64,38.93,1.7,1543,46.06,4.35,925.9,Running
M0038,92.32,39.34,2.03,1420,53.6,4.95,365.72,Running
M0039,92.12,39.34,1.91,1546,47.93,4.71,515.52,Running
M0040,92.58,40.86,1.54,1409,49.53,4.58,946.58,Running
M0041,91.04,44.02,2.09,1461,49.94,4.34,916.8,Running
M0042,98.51,34.36,0.9,1445,50.55,4.21,494.38,Running
M0043,96.78,38.3,1.62,1512,47.79,4.38,221.17,Running
M0044,95.62,40.31,1.57,1483,45.11,3.97,844.3,Running
M0045,97.88,37.21,1.23,1435,49.92,3.76,581.05,Running
M0046,92.05,41.89,1.64,1450,51.49,4.74,791.65,Running
M0047,95.9,38.93,1.4,1470,47.9,4.5,470.03,Running
M0048,91.92,40.09,2.09,1547,48.05,4.23,928.88,Running
M0049,98.85,37.35,1.05,1403,52.23,4.06,444.02,Running
M0050,79.76,51.54,3.28,1475,51.05,5.75,169.67,Maintenance
M0051,97.33,36.96,1.0,1527,49.43,4.68,295.03,Running
M0052,99.58,34.43,0.76,1504,46.11,3.81,402.44,Running
M0053,90.43,44.56,2.18,1476,51.55,4.95,167.33,Running
M0054,96.36,37.56,1.35,1426,45.82,4.67,495.55,Running
M0055,92.46,39.91,1.91,1516,46.56,5.06,833.35,Running
M0056,92.01,40.17,1.64,1377,51.78,4.16,572.33,Running
M0057,98.13,36.11,1.06,1525,49.99,4.63,286.07,Running
M0058,91.66,43.46,1.96,1567,53.94,5.16,158.61,Running
M0059,94.31,37.58,1.59,1489,46.54,4.45,988.75,Running
M0060,91.32,41.41,2.08,1554,48.48,5.18,543.5,Running
M0061,91.73,41.94,2.09,1461,51.62,4.63,182.98,Running
M0062,91.16,43.79,1.58,1397,48.02,4.83,175.29,Running
M0063,97.59,36.27,1.0,1465,48.45,4.62,434.63,Running
M0064,96.13,39.02,1.14,1556,52.03,4.42,196.4,Running
M0065,90.55,42.24,2.02,1423,45.45,4.66,619.52,Running
M0066,89.95,41.17,1.84,1471,53.59,4.7,720.92,Running
M0067,89.73,42.13,1.85,1398,48.33,4.89,238.11,Running
M0068,98.32,36.66,1.18,1586,46.52,3.66,887.35,Running
M0069,98.26,37.0,1.28,1421,50.64,4.3,658.57,Running
M0070,90.67,43.93,1.81,1372,51.87,5.15,700.25,Running
M0071,77.05,54.7,3.35,1388,54.57,6.23,250.81,Maintenance
M0072,95.76,39.09,1.18,1578,45.91,4.51,744.74,Running
M0073,98.46,36.41,1.14,1480,46.66,3.84,737.98,Running
M0074,91.62,39.79,1.97,1466,46.18,4.69,218.17,Running
M0075,97.48,36.27,1.25,1436,54.36,4.7,408.44,Running
M0076,94.66,39.95,1.32,1528,51.56,4.77,361.08,Running
M0077,96.22,36.97,1.12,1543,49.98,4.79,765.18,Running
M0078,94.75,39.31,1.29,1536,48.97,4.5,858.57,Running
M0079,94.47,38.21,1.48,1559,47.36,4.44,462.24,Running
M0080,96.0,39.08,1.2,1447,46.08,4.37,316.5,Running
M0081,99.5,36.5,1.3,1432,51.55,3.96,233.44,Running
M0082,80.02,52.49,2.72,1539,45.12,5.73,516.47,Running
