Temperature,Vibration,RPM,Humidity,Power,Running_Hours,status
15.51,0.0,0,60.52,0.0,16456.92,Stopped
44.82,1.41,1595,56.93,5.3,1656.54,Running
15.11,0.0,0,64.01,0.0,15936.7,Stopped
23.92,0.0,0,50.14,0.0,16457.95,Stopped
69.82,4.94,2118,65.39,8.66,8239.04,Maintenance
29.97,1.07,1792,60.71,4.52,1181.73,Running
43.58,1.81,1477,44.91,3.64,659.33,Running
22.85,0.0,0,69.57,0.0,16507.19,Stopped
112.14,7.05,2584,70.81,10.98,19573.49,Critical
29.9,1.48,1519,46.92,4.37,572.45,Running
118.9,11.64,3219,86.15,11.37,13457.58,Critical
94.09,9.05,3377,78.11,11.32,16322.94,Critical
108.68,9.88,3279,77.46,11.9,19980.6,Critical
22.58,0.0,0,47.79,0.0,17224.92,Stopped
107.74,10.12,3245,86.88,11.24,13800.01,Critical
113.64,7.68,2506,80.01,11.26,14437.39,Critical
89.65,10.37,2633,70.64,12.42,13193.07,Critical
97.03,8.75,3134,78.71,12.26,17793.54,Critical
39.85,0.64,1624,62.05,3.33,2387.32,Running
68.56,4.05,2141,68.23,8.02,7526.31,Maintenance
