Temperature,Vibration,RPM,Humidity,Power,Running_Hours,status,machineId,Health
15.51,0.0,0,60.52,0.0,16456.92,Stopped,,
44.82,1.41,1595,56.93,5.3,1656.54,Running,,
15.11,0.0,0,64.01,0.0,15936.7,Stopped,,
23.92,0.0,0,50.14,0.0,16457.95,Stopped,,
69.82,4.94,2118,65.39,8.66,8239.04,Maintenance,,
29.97,1.07,1792,60.71,4.52,1181.73,Running,,
43.58,1.81,1477,44.91,3.64,659.33,Running,,
22.85,0.0,0,69.57,0.0,16507.19,Stopped,,
112.14,7.05,2584,70.81,10.98,19573.49,Critical,,
29.9,1.48,1519,46.92,4.37,572.45,Running,,
118.9,11.64,3219,86.15,11.37,13457.58,Critical,,
94.09,9.05,3377,78.11,11.32,16322.94,Critical,,
108.68,9.88,3279,77.46,11.9,19980.6,Critical,,
22.58,0.0,0,47.79,0.0,17224.92,Stopped,,
107.74,10.12,3245,86.88,11.24,13800.01,Critical,,
113.64,7.68,2506,80.01,11.26,14437.39,Critical,,
89.65,10.37,2633,70.64,12.42,13193.07,Critical,,
97.03,8.75,3134,78.71,12.26,17793.54,Critical,,
39.85,0.64,1624,62.05,3.33,2387.32,Running,,
68.56,4.05,2141,68.23,8.02,7526.31,Maintenance,,
44.58,2.17,1418,47.22,5.04,114.41,Running,M0001,90.52
40.46,1.48,1570,54.17,4.57,357.43,Running,M0002,92.81
39.47,1.55,1533,46.97,4.19,858.66,Running,M0003,95.06
41.79,1.67,1545,54.87,4.44,499.03,Running,M0004,93.13
38.68,1.72,1571,45.38,4.19,695.08,Running,M0005,94.93
44.89,1.97,1495,45.57,5.22,431.64,Running,M0006,89.97
37.84,1.15,1513,49.04,3.83,586.9,Running,M0007,97.04
35.4,1.05,1498,50.49,3.65,487.9,Running,M0008,99.41
39.66,1.44,1456,50.97,4.2,672.76,Running,M0009,95.27
42.39,1.6,1497,54.14,4.72,400.97,Running,M0010,92.02
33.76,1.32,1418,53.84,4.07,305.07,Running,M0011,99.13
40.02,1.66,1452,51.51,4.5,623.65,Running,M0012,92.34
39.52,2.09,1459,48.26,4.5,473.11,Running,M0013,92.1
36.77,1.49,1531,53.12,4.1,241.0,Running,M0014,97.72
40.0,1.74,1489,47.19,4.71,271.94,Running,M0015,93.88
43.48,1.74,1572,54.38,4.41,817.52,Running,M0016,91.01
51.41,2.84,1350,48.75,5.39,257.1,Maintenance,M0017,79.97
41.27,1.49,1450,53.58,4.42,876.43,Running,M0018,92.75
41.26,1.46,1574,48.12,4.18,423.99,Running,M0019,93.54
38.78,1.22,1418,52.65,4.19,425.34,Running,M0020,96.7
42.27,1.98,1491,52.36,4.71,803.69,Running,M0021,92.82
43.32,2.01,1407,54.51,4.19,242.13,Running,M0022,91.91
34.12,1.1,1460,51.8,4.43,477.83,Running,M0023,99.72
42.62,1.82,1496,53.24,4.55,106.71,Running,M0024,90.82
42.34,2.0,1385,52.72,4.69,666.08,Running,M0025,91.1
40.28,1.9,1465,52.13,4.35,506.65,Running,M0026,93.08
40.06,1.84,1391,48.84,4.72,204.02,Running,M0027,93.79
37.85,1.29,1501,50.38,4.43,476.49,Running,M0028,96.23
40.73,1.53,1522,52.78,4.57,983.05,Running,M0029,93.54
37.36,1.26,1508,50.99,4.55,307.34,Running,M0030,98.97
39.71,1.44,1461,51.98,4.51,356.12,Running,M0031,96.04
34.03,1.26,1537,52.17,3.66,402.47,Running,M0032,99.95
40.2,1.58,1533,53.44,4.5,960.95,Running,M0033,94.98
40.57,1.43,1567,53.93,4.3,917.28,Running,M0034,94.67
42.01,1.97,1547,46.69,4.58,579.25,Running,M0035,90.3
41.24,1.6,1432,46.63,4.9,913.44,Running,M0036,93.93
35.11,1.27,1438,48.95,3.97,719.1,Running,M0037,98.84
33.67,0.8,1423,52.12,3.89,900.51,Running,M0038,99.2
37.52,1.13,1423,52.51,4.17,481.86,Running,M0039,96.33
41.29,1.34,1466,50.32,4.72,775.95,Running,M0040,94.01
40.45,2.0,1533,49.58,4.97,731.25,Running,M0041,91.01
43.26,1.71,1555,47.37,4.19,438.08,Running,M0042,91.5
44.46,2.21,1492,48.93,5.27,241.67,Running,M0043,90.03
35.31,1.12,1476,51.33,4.13,556.39,Running,M0044,99.82
35.91,1.23,1416,45.69,4.3,866.76,Running,M0045,99.78
39.96,1.51,1431,46.97,4.98,895.3,Running,M0046,92.63
40.94,1.56,1527,54.8,4.72,402.73,Running,M0047,94.07
38.63,1.42,1548,48.35,4.52,494.27,Running,M0048,93.8
40.46,1.78,1379,48.64,4.29,254.89,Running,M0049,92.52
42.36,1.67,1490,49.42,4.83,697.7,Running,M0050,92.74
39.6,2.03,1391,51.45,4.71,446.95,Running,M0051,92.49
37.26,1.4,1467,54.08,4.22,570.59,Running,M0052,94.79
35.56,1.2,1406,52.43,4.57,885.39,Running,M0053,98.04
38.79,1.34,1571,45.09,4.4,954.64,Running,M0054,96.75
38.08,1.63,1427,49.83,3.91,144.39,Running,M0055,94.97
39.41,1.7,1400,46.17,3.92,626.79,Running,M0056,94.83
40.28,1.84,1435,47.51,4.11,629.0,Running,M0057,94.33
39.72,1.5,1428,47.44,4.26,394.27,Running,M0058,95.68
41.53,1.7,1427,50.43,4.19,437.27,Running,M0059,94.33
34.57,1.16,1452,48.44,4.3,847.86,Running,M0060,99.11
40.93,2.17,1412,49.23,4.52,722.53,Running,M0061,90.51
39.64,1.6,1533,52.51,4.66,178.48,Running,M0062,95.91
35.05,1.36,1550,49.35,4.5,181.17,Running,M0063,98.83
38.21,1.46,1429,48.64,3.94,418.76,Running,M0064,94.58
39.45,1.81,1405,48.34,4.58,188.64,Running,M0065,92.6
35.88,0.91,1565,49.93,4.48,321.76,Running,M0066,98.02
36.3,1.29,1536,48.69,4.22,923.07,Running,M0067,96.63
39.6,1.49,1573,54.86,4.33,549.82,Running,M0068,92.97
36.38,1.03,1466,54.95,3.94,173.65,Running,M0069,99.14
41.82,1.88,1379,49.55,4.62,984.87,Running,M0070,91.41
35.91,1.2,1404,47.11,4.39,517.19,Running,M0071,98.87
41.54,1.5,1467,46.58,4.96,109.7,Running,M0072,93.13
36.15,1.47,1508,47.11,3.87,270.22,Running,M0073,97.87
36.66,1.08,1417,49.93,4.33,579.32,Running,M0074,99.66
33.67,1.23,1457,50.11,3.93,953.98,Running,M0075,99.37
39.0,1.18,1509,54.88,4.13,995.9,Running,M0076,95.4
41.23,1.91,1465,53.29,4.57,940.64,Running,M0077,93.12
39.08,1.11,1526,53.36,4.59,386.98,Running,M0078,96.17
41.69,1.87,1418,46.64,4.23,747.88,Running,M0079,91.13
37.14,1.6,1557,52.91,4.37,301.89,Running,M0080,94.96
40.39,1.7,1575,51.78,4.89,507.23,Running,M0081,92.85
39.73,1.64,1463,46.98,4.15,523.72,Running,M0082,92.96
36.6,0.88,1526,51.38,4.36,255.42,Running,M0083,98.96
36.37,0.85,1473,51.32,4.27,762.79,Running,M0084,98.75
40.6,1.46,1420,52.9,4.04,340.82,Running,M0085,93.35
40.83,1.83,1571,46.47,4.26,269.14,Running,M0086,92.78
43.77,1.98,1539,54.02,4.34,769.87,Running,M0087,90.16
38.56,1.91,1490,47.61,4.86,640.26,Running,M0088,93.28
38.5,1.51,1576,46.22,4.07,440.84,Running,M0089,94.75
43.57,2.08,1448,51.68,5.18,408.09,Running,M0090,90.63
41.61,1.72,1415,50.1,4.71,982.0,Running,M0091,91.54
